id,first_name,last_name,email,gender,national_id,phone,address,emergency_contact_name,emergency_contact_phone,department,position,employment_type,status,start_date,bank_account_number,bank_name,base_salary,housing_allowance,transport_allowance,meal_subsidy,tax_filing_status,tax_exemptions
27,Marcie,Kyle,mkyleq@noaa.gov,Female,504-30-2234,196-578-2195,Apt 106,Marcie Kyle,491-130-8977,Engineering,Team Lead,PART_TIME,ON_LEAVE (10%),11/4/2022,3294959579603681,BANCA CESARE PONTI S.P.A.,177098,1337.01,258.6,154.08,SINGLE,1.17
28,Hadley,Burchill,hburchillr@paypal.com,Male,786-92-2208,919-100-8985,Apt 518,Hadley Burchill,820-573-0513,Finance,Specialist,CONTRACT,TERMINATED (10%),9/8/2024,6783093616528851,FIRST NATIONAL BANK,74693,2439.3,209.03,167.29,MARRIED_FILING_JOINTLY,3.54
29,Suki,Cosley,scosleys@unicef.org,Female,724-23-3834,780-940-3815,Suite 36,Suki Cosley,486-639-5662,Sales,Specialist,FULL_TIME,ACTIVE (80%),2/13/2024,2120832850980308,BANK OF NEW YORK MELLON,177875,2911.38,395.69,61.88,SINGLE,2.64
30,Pablo,Broschke,pbroschket@php.net,Male,376-96-6884,321-137-4649,16th Floor,Pablo Broschke,219-998-7486,Sales,Assistant Manager,PART_TIME,TERMINATED (10%),10/4/2019,4392451392566923,BANCO BPM SOCIETA' PER AZIONI,86407,930.36,193.86,145.22,HEAD_OF_HOUSEHOLD,0.78
31,Louie,Tanzig,ltanzigu@craigslist.org,Male,486-90-9800,459-573-5555,Suite 69,Louie Tanzig,966-960-4822,Operations,Specialist,CONTRACT,ACTIVE (80%),7/10/2024,3892601644678813,BANCO BPM SOCIETA' PER AZIONI,131478,2180.05,368.21,176.21,HEAD_OF_HOUSEHOLD,1.17
32,Theressa,Fearnley,tfearnleyv@comsenz.com,Female,674-15-2287,630-719-8297,17th Floor,Theressa Fearnley,869-423-9729,Marketing,Team Lead,CONTRACT,ON_LEAVE (10%),3/5/2024,9834593195153116,Core Credit Union Limited,40279,923.33,179.4,68.02,MARRIED_FILING_JOINTLY,0.97
33,Hamish,Hurn,hhurnw@123-reg.co.uk,Agender,567-19-6927,963-898-9941,PO Box 72283,Hamish Hurn,992-323-2350,Marketing,Analyst,FULL_TIME,ACTIVE (80%),8/24/2023,7763844986084952,Quintet Private Bank (Europe) S.A,173878,1968.66,197.12,106.42,SINGLE,3.99
34,Aidan,Glacken,aglackenx@youtu.be,Female,203-88-9927,732-549-3005,Suite 45,Aidan Glacken,425-268-1721,Finance,Team Lead,PART_TIME,TERMINATED (10%),11/14/2024,0946755453451716,Winterbacher Bank eG,46968,2568.28,111.48,52.29,MARRIED_FILING_JOINTLY,3.59
35,Mara,Wedderburn,mwedderburny@addtoany.com,Female,712-14-9163,190-811-8318,Apt 1300,Mara Wedderburn,949-294-5143,Marketing,Assistant Manager,FULL_TIME,ACTIVE (80%),3/15/2021,2513799852317802,BANCO BPM SOCIETA' PER AZIONI,122726,1908.27,383.5,157.08,HEAD_OF_HOUSEHOLD,2.31
36,Junia,Poleye,jpoleyez@ask.com,Female,582-55-4357,639-255-1102,Suite 99,Junia Poleye,365-619-7931,Finance,Supervisor,PART_TIME,ACTIVE (80%),3/13/2023,1698930765218172,VR-Bank Ellwangen eG,66074,2907.0,107.06,127.75,SINGLE,3.24
37,Jordon,Moors,jmoors10@ebay.com,Male,757-29-8146,355-887-8296,Suite 63,Jordon Moors,664-821-9264,Operations,Manager,CONTRACT,ON_LEAVE (10%),3/2/2019,3265241424797169,PNC BANK INC. - BALTIMORE,176698,2753.6,245.56,158.8,MARRIED_FILING_JOINTLY,2.69
38,Amos,Swan,aswan11@miitbeian.gov.cn,Agender,883-11-3032,637-717-9396,Room 511,Amos Swan,584-311-1298,Engineering,Team Lead,PART_TIME,ACTIVE (80%),4/21/2019,9720400897367412,J.P. Morgan SE,53543,730.11,148.1,114.56,HEAD_OF_HOUSEHOLD,1.51
39,Thornie,Batisse,tbatisse12@a8.net,Male,649-56-4642,862-588-9319,PO Box 3906,Thornie Batisse,837-108-1282,Finance,Assistant Manager,CONTRACT,ON_LEAVE (10%),11/19/2022,0013013089961701,PINNACLE BANK,34515,2040.54,172.37,77.65,MARRIED_FILING_JOINTLY,0.95
40,Susan,Cristofanini,scristofanini13@ucoz.ru,Female,608-51-3288,729-957-9697,Apt 1762,Susan Cristofanini,512-685-3935,Finance,Supervisor,CONTRACT,TERMINATED (10%),5/7/2021,0882162482486846,Spar- und Kreditbank Rheinstetten eG,170076,1753.99,134.21,80.72,HEAD_OF_HOUSEHOLD,1.06
41,Linn,Fipp,lfipp14@seesaa.net,Polygender,668-80-1120,209-340-9981,Apt 637,Linn Fipp,314-888-7186,HR,Analyst,CONTRACT,TERMINATED (10%),1/21/2022,2557715703063815,"J&T BANKA, a.s.",111681,2523.61,345.91,107.62,HEAD_OF_HOUSEHOLD,3.42
42,Vanya,Petrecz,vpetrecz15@yale.edu,Male,569-21-8099,620-400-3450,PO Box 77715,Vanya Petrecz,183-493-0403,Marketing,Team Lead,PART_TIME,ACTIVE (80%),5/26/2020,7326016446909254,TRUSTMARK NATIONAL BANK,71633,2656.69,381.96,191.26,MARRIED_FILING_JOINTLY,0.9
43,Tallie,Jeste,tjeste16@columbia.edu,Male,716-20-5776,493-422-7685,Apt 526,Tallie Jeste,493-954-9543,Operations,Team Lead,PART_TIME,ON_LEAVE (10%),6/15/2020,2191134521682955,Raiffeisenbank Region Eferding eGen,87749,2634.31,110.18,97.84,MARRIED_FILING_JOINTLY,3.44
44,Rasla,Prince,rprince17@themeforest.net,Polygender,370-60-6160,436-942-9329,Suite 19,Rasla Prince,237-714-0729,HR,Analyst,FULL_TIME,ON_LEAVE (10%),6/14/2024,9835241145407460,PEOPLES BANK,123428,1682.93,391.68,159.21,SINGLE,2.54
45,Reine,Glennie,rglennie18@flickr.com,Female,498-49-1168,671-346-8437,Suite 52,Reine Glennie,334-350-7256,HR,Assistant Manager,CONTRACT,ACTIVE (80%),3/22/2021,7881686417147477,Sparkasse der Stadt Feldkirch,35271,2753.02,130.77,91.16,HEAD_OF_HOUSEHOLD,3.38
46,Mackenzie,Colton,mcolton19@zimbio.com,Male,116-87-7556,908-733-6559,7th Floor,Mackenzie Colton,660-310-5924,Engineering,Assistant Manager,CONTRACT,TERMINATED (10%),1/11/2023,4136323679646360,CITIBANK,159360,1241.23,212.04,124.87,SINGLE,2.87
47,Adrienne,Mc-Kerley,amckerley1a@dion.ne.jp,Female,641-36-0524,847-229-4157,Room 752,Adrienne Mc-Kerley,660-950-9832,Marketing,Manager,PART_TIME,ACTIVE (80%),9/28/2020,0014931508712778,DEUTSCHE BANK AKTIENGESELLSCHAFT,149396,1893.75,197.81,91.98,MARRIED_FILING_JOINTLY,2.17
48,Benjie,Tomkys,btomkys1b@merriam-webster.com,Male,478-16-3440,398-344-3842,Suite 91,Benjie Tomkys,122-951-8577,Engineering,Supervisor,CONTRACT,ACTIVE (80%),6/16/2023,5123515200657181,Swedbank AB,151529,2964.32,431.58,198.45,SINGLE,1.32
49,Clarance,Rugiero,crugiero1c@slate.com,Male,361-19-9883,670-319-8748,PO Box 52385,Clarance Rugiero,519-915-5317,HR,Team Lead,CONTRACT,ACTIVE (80%),4/30/2018,6500616560294106,"Banco Bilbao Vizcaya Argentaria, S.A.",61365,1971.97,248.63,168.24,MARRIED_FILING_JOINTLY,3.42
50,Nissy,Manders,nmanders1d@google.com.hk,Polygender,680-58-8359,764-980-4558,PO Box 12602,Nissy Manders,698-261-0819,Sales,Manager,PART_TIME,ACTIVE (80%),2/26/2018,0332893369105211,THE PEOPLES BANK,177787,1578.09,223.91,62.32,MARRIED_FILING_JOINTLY,2.44
